Vaccine,Dose,Geography Type,Geography,Survey Year,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size,State,HHS Region
Tetanus,Td or Tdap,States/Local Areas,North Carolina,2019,18-49 Years,Overall,76.7,74.2 to 79.2,1499.0,North Carolina,Region 4
Pneumococcal,,States/Local Areas,North Carolina,2018,>=65 Years,Overall,76.7,73.4 to 79.9,1320.0,North Carolina,Region 4
Tetanus,Td or Tdap,States/Local Areas,North Carolina,2013,50-64 Years,Overall,61.9,59.2 to 64.5,2239.0,North Carolina,Region 4
Pneumococcal,,States/Local Areas,North Carolina,2019,>=65 Years,Overall,75.9,72.7 to 79.0,1104.0,North Carolina,Region 4
Pneumococcal,,States/Local Areas,North Carolina,2018,18-64 Years at Increased Risk,Overall,34.2,30.8 to 37.7,1103.0,North Carolina,Region 4
Pneumococcal,,States/Local Areas,North Carolina,2022,18-64 Years at Increased Risk,Overall,30.3,26.4 to 34.1,1002.0,North Carolina,Region 4
Pneumococcal,,States/Local Areas,North Carolina,2022,>=65 Years,Overall,75.0,71.4 to 78.5,1095.0,North Carolina,Region 4
Tetanus,Td or Tdap,States/Local Areas,North Carolina,2022,50-64 Years,Overall,73.2,69.4 to 77.1,1014.0,North Carolina,Region 4
Tetanus,Td or Tdap,States/Local Areas,North Carolina,2022,>=65 Years,Overall,68.4,64.4 to 72.4,1021.0,North Carolina,Region 4
Tetanus,Td or Tdap,States/Local Areas,North Carolina,2022,18-49 Years,Overall,73.5,71.0 to 76.1,1760.0,North Carolina,Region 4
Tetanus,Td or Tdap,States/Local Areas,North Carolina,2022,>=18 Years,Overall,72.3,70.4 to 74.2,3795.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2022,>=18 Years,Overall,49.0,46.5 to 51.5,2673.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2022,>=65 Years,Overall,37.2,32.5 to 42.0,666.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,North Carolina,2022,18-64 Years,Overall,52.0,49.1 to 54.9,2007.0,North Carolina,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2019,>=18 Years,Overall,24.8,22.8 to 26.9,2996.0,Mississippi,Region 4
Zoster (Shingles),,States/Local Areas,Mississippi,2017,>=60 Years,Overall,26.0,23.7 to 28.2,2320.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2022,18-64 Years,Overall,27.9,25.3 to 30.5,1935.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2022,>=65 Years,Overall,14.3,10.6 to 18.0,674.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Mississippi,2022,>=18 Years,Overall,24.7,22.4 to 26.9,2609.0,Mississippi,Region 4
Tetanus,Td or Tdap,States/Local Areas,Mississippi,2022,>=18 Years,Overall,50.3,48.2 to 52.5,3555.0,Mississippi,Region 4
Tetanus,Td or Tdap,States/Local Areas,Mississippi,2022,18-49 Years,Overall,52.8,49.7 to 55.9,1659.0,Mississippi,Region 4
Tetanus,Td or Tdap,States/Local Areas,Mississippi,2022,>=65 Years,Overall,42.4,38.1 to 46.7,938.0,Mississippi,Region 4
Tetanus,Td or Tdap,States/Local Areas,Mississippi,2022,50-64 Years,Overall,52.7,48.6 to 56.8,958.0,Mississippi,Region 4
Pneumococcal,,States/Local Areas,Mississippi,2022,>=65 Years,Overall,63.5,59.4 to 67.6,1034.0,Mississippi,Region 4
Pneumococcal,,States/Local Areas,Mississippi,2022,18-64 Years at Increased Risk,Overall,28.3,24.8 to 31.7,1085.0,Mississippi,Region 4
Tetanus,Tdap,States/Local Areas,Puerto Rico,2022,18-64 Years,Overall,12.9,10.9 to 14.9,2430.0,Puerto Rico,Region 2
Tetanus,Tdap,States/Local Areas,Puerto Rico,2022,>=18 Years,Overall,11.9,10.4 to 13.5,3503.0,Puerto Rico,Region 2
Tetanus,Tdap,States/Local Areas,Puerto Rico,2022,>=65 Years,Overall,9.3,7.2 to 11.4,1073.0,Puerto Rico,Region 2
Pneumococcal,,States/Local Areas,Puerto Rico,2022,18-64 Years at Increased Risk,Overall,15.2,12.3 to 18.1,1335.0,Puerto Rico,Region 2
Pneumococcal,,States/Local Areas,Puerto Rico,2022,>=65 Years,Overall,39.0,35.6 to 42.5,1450.0,Puerto Rico,Region 2
Tetanus,Td or Tdap,States/Local Areas,Puerto Rico,2022,18-49 Years,Overall,46.3,43.1 to 49.5,1955.0,Puerto Rico,Region 2
Tetanus,Td or Tdap,States/Local Areas,Puerto Rico,2022,>=18 Years,Overall,40.3,38.3 to 42.3,4789.0,Puerto Rico,Region 2
Tetanus,Td or Tdap,States/Local Areas,Puerto Rico,2022,>=65 Years,Overall,34.3,31.0 to 37.5,1429.0,Puerto Rico,Region 2
Tetanus,Td or Tdap,States/Local Areas,Puerto Rico,2022,50-64 Years,Overall,34.0,30.8 to 37.3,1405.0,Puerto Rico,Region 2
Pneumococcal,,States/Local Areas,Puerto Rico,2019,>=65 Years,Overall,33.7,30.9 to 36.6,1565.0,Puerto Rico,Region 2
Tetanus,Td or Tdap,States/Local Areas,Puerto Rico,2019,>=18 Years,Overall,41.6,39.9 to 43.4,5175.0,Puerto Rico,Region 2
Pneumococcal,,States/Local Areas,Puerto Rico,2020,18-64 Years at Increased Risk,Overall,15.2,12.1 to 18.3,1123.0,Puerto Rico,Region 2
Pneumococcal,,States/Local Areas,Puerto Rico,2021,>=65 Years,Overall,34.1,29.7 to 38.5,998.0,Puerto Rico,Region 2
Zoster (Shingles),,States/Local Areas,Puerto Rico,2020,>=65 Years,Overall,21.3,15.5 to 27.0,1026.0,Puerto Rico,Region 2
Zoster (Shingles),,States/Local Areas,Puerto Rico,2020,60-64 Years,Overall,8.2,4.9 to 11.5,433.0,Puerto Rico,Region 2
Pneumococcal,,States/Local Areas,Puerto Rico,2019,18-64 Years at Increased Risk,Overall,15.2,12.9 to 17.6,1343.0,Puerto Rico,Region 2
Tetanus,Td or Tdap,States/Local Areas,Puerto Rico,2019,>=65 Years,Overall,34.1,31.1 to 37.0,1549.0,Puerto Rico,Region 2
Tetanus,Td or Tdap,States/Local Areas,Puerto Rico,2019,50-64 Years,Overall,34.3,31.4 to 37.3,1480.0,Puerto Rico,Region 2
Pneumococcal,,States/Local Areas,Puerto Rico,2020,>=65 Years,Overall,31.0,26.4 to 35.6,1013.0,Puerto Rico,Region 2
Zoster (Shingles),,States/Local Areas,Puerto Rico,2020,>=60 Years,Overall,17.6,13.3 to 21.9,1459.0,Puerto Rico,Region 2
Tetanus,Td or Tdap,States/Local Areas,Puerto Rico,2019,18-49 Years,Overall,49.1,46.4 to 51.8,2146.0,Puerto Rico,Region 2
Pneumococcal,,States/Local Areas,Puerto Rico,2021,18-64 Years at Increased Risk,Overall,16.0,12.9 to 19.2,952.0,Puerto Rico,Region 2
Tetanus,Tdap,States/Local Areas,PA-Rest of state,2019,>=18 Years,Overall,44.4,41.9 to 46.8,2655.0,Pennsylvania,Region 3
Zoster (Shingles),,States/Local Areas,PA-Rest of state,2017,>=60 Years,Overall,42.2,39.3 to 45.0,2036.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,PA-Rest of state,2019,>=65 Years,Overall,28.5,24.9 to 32.0,846.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,PA-Rest of state,2016,18-64 Years,Overall,36.8,34.1 to 39.5,2293.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,PA-Rest of state,2016,>=65 Years,Overall,17.7,14.8 to 20.5,986.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,PA-Rest of state,2013,>=65 Years,Overall,15.3,13.3 to 17.3,1972.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,PA-Rest of state,2019,18-64 Years,Overall,49.7,46.7 to 52.7,1809.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,PA-Rest of state,2013,18-64 Years,Overall,31.9,29.9 to 33.9,3547.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,PA-Rest of state,2013,>=18 Years,Overall,28.0,26.4 to 29.6,5519.0,Pennsylvania,Region 3
Tetanus,Tdap,States/Local Areas,PA-Rest of state,2016,>=18 Years,Overall,31.9,29.7 to 34.1,3279.0,Pennsylvania,Region 3
Pneumococcal,,States/Local Areas,Wyoming,2018,18-64 Years at Increased Risk,Overall,27.9,24.5 to 31.3,894.0,Wyoming,Region 8
Pneumococcal,,States/Local Areas,Wyoming,2019,>=65 Years,Overall,69.1,66.2 to 72.0,1963.0,Wyoming,Region 8
Tetanus,Tdap,States/Local Areas,Wisconsin,2013,18-64 Years,Overall,46.3,43.5 to 49.1,2824.0,Wisconsin,Region 5
Tetanus,Tdap,States/Local Areas,Wisconsin,2019,>=18 Years,Overall,52.1,49.6 to 54.7,2722.0,Wisconsin,Region 5
Zoster (Shingles),,States/Local Areas,Wisconsin,2017,>=60 Years,Overall,42.9,40.1 to 45.6,2282.0,Wisconsin,Region 5
Tetanus,Tdap,States/Local Areas,Wisconsin,2016,18-64 Years,Overall,42.6,39.9 to 45.4,2203.0,Wisconsin,Region 5
Tetanus,Tdap,States/Local Areas,Wisconsin,2016,>=65 Years,Overall,34.1,30.6 to 37.7,1123.0,Wisconsin,Region 5
Tetanus,Tdap,States/Local Areas,Wisconsin,2019,>=65 Years,Overall,41.3,37.5 to 45.0,1063.0,Wisconsin,Region 5
Zoster (Shingles),,States/Local Areas,Wisconsin,2023,>=65 Years,Overall,61.0,59.3 to 62.7,5324.0,Wisconsin,Region 5
Zoster (Shingles),,States/Local Areas,Wisconsin,2023,>=60 Years,Overall,57.5,55.9 to 59.0,6593.0,Wisconsin,Region 5
Pneumococcal,,States/Local Areas,Wisconsin,2023,>=65 Years,Overall,72.7,71.2 to 74.3,5152.0,Wisconsin,Region 5
Tetanus,Tdap,States/Local Areas,Wisconsin,2019,18-64 Years,Overall,55.3,52.3 to 58.4,1659.0,Wisconsin,Region 5
Tetanus,Tdap,States/Local Areas,Wisconsin,2013,>=65 Years,Overall,33.1,28.7 to 37.5,1239.0,Wisconsin,Region 5
Tetanus,Tdap,States/Local Areas,Wisconsin,2016,>=18 Years,Overall,40.9,38.6 to 43.2,3326.0,Wisconsin,Region 5
Tetanus,Tdap,States/Local Areas,Wisconsin,2013,>=18 Years,Overall,43.7,41.3 to 46.1,4063.0,Wisconsin,Region 5
Zoster (Shingles),,States/Local Areas,Wisconsin,2023,60-64 Years,Overall,48.4,45.0 to 51.9,1269.0,Wisconsin,Region 5
Pneumococcal,,States/Local Areas,Wisconsin,2023,18-64 Years at Increased Risk,Overall,40.7,38.0 to 43.4,2213.0,Wisconsin,Region 5
Zoster (Shingles),,States/Local Areas,Wisconsin,2014,>=60 Years,Overall,37.1,34.6 to 39.5,2929.0,Wisconsin,Region 5
Tetanus,Tdap,States/Local Areas,Rhode Island,2016,>=18 Years,Overall,37.2,34.7 to 39.7,3397.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2013,>=18 Years,Overall,35.4,33.3 to 37.6,3727.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2014,>=18 Years,Overall,39.1,36.8 to 41.5,3806.0,Rhode Island,Region 1
Zoster (Shingles),,States/Local Areas,Rhode Island,2017,>=60 Years,Overall,44.3,41.8 to 46.8,2412.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2019,>=18 Years,Overall,47.9,45.2 to 50.5,3159.0,Rhode Island,Region 1
Zoster (Shingles),,States/Local Areas,Rhode Island,2023,>=60 Years,Overall,51.8,48.9 to 54.8,2572.0,Rhode Island,Region 1
Pneumococcal,,States/Local Areas,Rhode Island,2023,>=65 Years,Overall,75.9,72.8 to 78.9,1905.0,Rhode Island,Region 1
Zoster (Shingles),,States/Local Areas,Rhode Island,2023,>=65 Years,Overall,56.1,52.6 to 59.6,1932.0,Rhode Island,Region 1
Zoster (Shingles),,States/Local Areas,Rhode Island,2023,60-64 Years,Overall,40.8,35.5 to 46.1,640.0,Rhode Island,Region 1
Pneumococcal,,States/Local Areas,Rhode Island,2023,18-64 Years at Increased Risk,Overall,33.8,29.8 to 37.9,1045.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2016,>=65 Years,Overall,20.1,17.4 to 22.8,1217.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2019,18-64 Years,Overall,51.3,48.0 to 54.5,1882.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2013,>=65 Years,Overall,17.5,15.1 to 19.9,1228.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2016,18-64 Years,Overall,42.3,39.2 to 45.3,2180.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2014,18-64 Years,Overall,44.1,41.3 to 46.9,2481.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2013,18-64 Years,Overall,40.1,37.5 to 42.7,2499.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2014,>=65 Years,Overall,20.1,17.6 to 22.7,1325.0,Rhode Island,Region 1
Tetanus,Tdap,States/Local Areas,Rhode Island,2019,>=65 Years,Overall,36.1,32.8 to 39.4,1277.0,Rhode Island,Region 1
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2016,>=18 Years,Overall,54.4,51.8 to 57.1,4507.0,Arkansas,Region 6
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2013,>=18 Years,Overall,49.5,47.3 to 51.7,4324.0,Arkansas,Region 6
Zoster (Shingles),,States/Local Areas,Arkansas,2014,>=65 Years,Overall,31.3,28.7 to 33.9,2191.0,Arkansas,Region 6
Pneumococcal,,States/Local Areas,Arkansas,2020,>=65 Years,Overall,71.5,69.2 to 73.9,2354.0,Arkansas,Region 6
Pneumococcal,,States/Local Areas,Arkansas,2019,18-64 Years at Increased Risk,Overall,31.0,27.5 to 34.6,1003.0,Arkansas,Region 6
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2019,>=18 Years,Overall,64.4,62.3 to 66.4,4304.0,Arkansas,Region 6
Pneumococcal,,States/Local Areas,Arkansas,2011,18-64 Years at Increased Risk,Overall,29.6,25.7 to 33.6,1102.0,Arkansas,Region 6
Pneumococcal,,States/Local Areas,Arkansas,2010,18-64 Years at Increased Risk,Overall,26.0,21.8 to 30.2,850.0,Arkansas,Region 6
Pneumococcal,,States/Local Areas,Arkansas,2009,18-64 Years at Increased Risk,Overall,22.9,19.4 to 26.4,897.0,Arkansas,Region 6
Pneumococcal,,States/Local Areas,Arkansas,2008,18-64 Years at Increased Risk,Overall,22.0,19.0 to 25.1,1388.0,Arkansas,Region 6
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2017,>=18 Years,Overall,54.8,51.9 to 57.7,4050.0,Arkansas,Region 6
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2019,>=65 Years,Overall,56.2,53.5 to 58.9,2164.0,Arkansas,Region 6
Pneumococcal,,States/Local Areas,Arkansas,2012,18-64 Years at Increased Risk,Overall,26.5,23.5 to 29.4,1338.0,Arkansas,Region 6
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2017,>=65 Years,Overall,46.5,43.2 to 49.9,2116.0,Arkansas,Region 6
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2016,>=65 Years,Overall,39.5,36.2 to 42.7,2150.0,Arkansas,Region 6
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2013,>=65 Years,Overall,41.4,38.3 to 44.5,1735.0,Arkansas,Region 6
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2019,50-64 Years,Overall,60.7,57.2 to 64.2,1110.0,Arkansas,Region 6
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2016,50-64 Years,Overall,51.9,47.9 to 55.9,1365.0,Arkansas,Region 6
Zoster (Shingles),,States/Local Areas,Arkansas,2020,>=65 Years,Overall,39.5,37.0 to 42.0,2393.0,Arkansas,Region 6
Zoster (Shingles),,States/Local Areas,Arkansas,2017,>=65 Years,Overall,39.0,36.0 to 42.0,2433.0,Arkansas,Region 6
Tetanus,Td or Tdap,States/Local Areas,Arkansas,2017,50-64 Years,Overall,56.4,52.2 to 60.6,1154.0,Arkansas,Region 6
Tetanus,Tdap,States/Local Areas,Arizona,2016,18-64 Years,Overall,32.8,30.4 to 35.2,3572.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2019,18-64 Years,Overall,39.7,36.7 to 42.8,2670.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2013,>=65 Years,Overall,21.0,16.1 to 25.8,976.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2016,>=65 Years,Overall,20.7,18.8 to 22.7,3288.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2012,>=65 Years,Overall,7.3,5.5 to 9.1,1829.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2019,>=65 Years,Overall,30.9,27.7 to 34.0,2076.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2012,18-64 Years,Overall,15.0,12.9 to 17.0,2589.0,Arizona,Region 9
Zoster (Shingles),,States/Local Areas,Arizona,2020,>=60 Years,Overall,41.6,39.4 to 43.9,4436.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2013,18-64 Years,Overall,24.7,21.5 to 28.0,1612.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2013,>=18 Years,Overall,24.0,21.2 to 26.7,2588.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2016,>=18 Years,Overall,30.1,28.2 to 32.1,6860.0,Arizona,Region 9
Zoster (Shingles),,States/Local Areas,Arizona,2017,>=60 Years,Overall,41.2,39.7 to 42.6,6737.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2019,>=18 Years,Overall,37.6,35.2 to 40.0,4746.0,Arizona,Region 9
Tetanus,Tdap,States/Local Areas,Arizona,2012,>=18 Years,Overall,13.4,11.7 to 15.0,4418.0,Arizona,Region 9
Zoster (Shingles),,States/Local Areas,Arizona,2023,60-64 Years,Overall,38.4,33.9 to 42.8,1021.0,Arizona,Region 9
Pneumococcal,,States/Local Areas,Arizona,2023,18-64 Years at Increased Risk,Overall,30.3,27.4 to 33.3,2015.0,Arizona,Region 9
Pneumococcal,,States/Local Areas,Arizona,2023,>=65 Years,Overall,71.6,69.6 to 73.6,5065.0,Arizona,Region 9
Zoster (Shingles),,States/Local Areas,Arizona,2023,>=60 Years,Overall,51.4,49.4 to 53.4,6148.0,Arizona,Region 9
Zoster (Shingles),,States/Local Areas,Arizona,2023,>=65 Years,Overall,55.4,53.1 to 57.6,5127.0,Arizona,Region 9
Tetanus,Td or Tdap,States/Local Areas,Indiana,2013,>=18 Years,Overall,56.3,54.9 to 57.7,8532.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2016,>=18 Years,Overall,58.1,56.7 to 59.5,9848.0,Indiana,Region 5
Zoster (Shingles),,States/Local Areas,Indiana,2014,>=60 Years,Overall,29.4,27.9 to 30.9,5157.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2013,18-49 Years,Overall,61.2,59.0 to 63.3,2856.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2016,18-49 Years,Overall,64.9,62.7 to 67.1,2726.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2013,50-64 Years,Overall,54.5,52.2 to 56.7,2762.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2019,18-49 Years,Overall,71.4,69.2 to 73.5,2220.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2019,>=18 Years,Overall,68.6,67.2 to 70.0,7105.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2012,18-64 Years at Increased Risk,Overall,27.5,25.2 to 29.7,2270.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2020,>=65 Years,Overall,73.4,71.4 to 75.4,2660.0,Indiana,Region 5
Zoster (Shingles),,States/Local Areas,Indiana,2020,>=60 Years,Overall,38.3,36.5 to 40.2,3555.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2018,18-64 Years at Increased Risk,Overall,31.6,29.0 to 34.3,1754.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2019,>=65 Years,Overall,63.2,61.0 to 65.3,2799.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2019,>=65 Years,Overall,72.2,70.2 to 74.2,2977.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2013,>=65 Years,Overall,44.7,42.5 to 46.9,2914.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2019,50-64 Years,Overall,67.6,65.3 to 69.9,2086.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2016,>=65 Years,Overall,42.6,40.6 to 44.5,4045.0,Indiana,Region 5
Tetanus,Td or Tdap,States/Local Areas,Indiana,2016,50-64 Years,Overall,56.5,54.3 to 58.8,3077.0,Indiana,Region 5
Zoster (Shingles),,States/Local Areas,Indiana,2017,>=65 Years,Overall,41.2,39.5 to 42.9,4823.0,Indiana,Region 5
Zoster (Shingles),,States/Local Areas,Indiana,2020,>=65 Years,Overall,43.1,40.9 to 45.3,2719.0,Indiana,Region 5
Zoster (Shingles),,States/Local Areas,Indiana,2015,>=65 Years,Overall,35.9,33.1 to 38.7,2096.0,Indiana,Region 5
Zoster (Shingles),,States/Local Areas,Indiana,2014,>=65 Years,Overall,32.9,31.1 to 34.7,3915.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2014,>=65 Years,Overall,69.7,67.9 to 71.6,3861.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2018,>=65 Years,Overall,72.5,70.4 to 74.6,2744.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2017,18-64 Years at Increased Risk,Overall,37.4,35.3 to 39.6,3066.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2011,>=65 Years,Overall,70.4,68.1 to 72.8,2426.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2014,18-64 Years at Increased Risk,Overall,28.6,26.5 to 30.7,2723.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2020,18-64 Years at Increased Risk,Overall,31.0,28.6 to 33.4,1903.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2015,>=65 Years,Overall,71.0,68.3 to 73.7,2110.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2021,>=65 Years,Overall,73.1,71.2 to 75.0,3035.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2017,>=65 Years,Overall,73.8,72.2 to 75.3,4792.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2021,18-64 Years at Increased Risk,Overall,28.5,26.2 to 30.7,2118.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2015,18-64 Years at Increased Risk,Overall,30.9,27.4 to 34.4,1230.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2016,18-64 Years at Increased Risk,Overall,33.5,31.1 to 36.0,2521.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2008,>=65 Years,Overall,68.5,65.4 to 71.6,1319.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2009,>=65 Years,Overall,66.3,64.1 to 68.5,2671.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2012,>=65 Years,Overall,68.0,65.7 to 70.2,2589.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2013,>=65 Years,Overall,70.0,68.0 to 71.9,3135.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2010,>=65 Years,Overall,68.8,66.9 to 70.8,3256.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2013,18-64 Years at Increased Risk,Overall,29.4,27.1 to 31.7,2358.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2016,>=65 Years,Overall,73.3,71.5 to 75.1,4228.0,Indiana,Region 5
Tetanus,Tdap,States/Local Areas,IL-Rest of state,2019,>=18 Years,Overall,43.0,40.3 to 45.8,1764.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Rest of state,2016,>=18 Years,Overall,30.4,27.8 to 33.0,1844.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Rest of state,2013,>=18 Years,Overall,27.9,25.5 to 30.3,2874.0,Illinois,Region 5
Zoster (Shingles),,States/Local Areas,IL-Rest of state,2017,>=60 Years,Overall,36.5,33.6 to 39.4,1383.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Rest of state,2013,18-64 Years,Overall,30.8,27.9 to 33.7,1855.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Rest of state,2019,>=65 Years,Overall,33.6,29.3 to 37.9,597.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Rest of state,2019,18-64 Years,Overall,46.0,42.6 to 49.3,1167.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Rest of state,2013,>=65 Years,Overall,16.2,13.3 to 19.2,1019.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Rest of state,2016,18-64 Years,Overall,33.2,30.1 to 36.4,1168.0,Illinois,Region 5
Tetanus,Tdap,States/Local Areas,IL-Rest of state,2016,>=65 Years,Overall,20.3,16.9 to 23.8,676.0,Illinois,Region 5
Pneumococcal,,States/Local Areas,Indiana,2019,18-64 Years at Increased Risk,Overall,31.9,29.3 to 34.5,1802.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2008,18-64 Years at Increased Risk,Overall,22.2,18.9 to 25.5,1354.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2009,18-64 Years at Increased Risk,Overall,25.2,22.8 to 27.6,2352.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2010,18-64 Years at Increased Risk,Overall,27.3,24.7 to 29.9,2441.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Indiana,2011,18-64 Years at Increased Risk,Overall,30.0,27.5 to 32.5,2134.0,Indiana,Region 5
Zoster (Shingles),,States/Local Areas,Indiana,2017,60-64 Years,Overall,24.2,21.6 to 26.8,1399.0,Indiana,Region 5
Zoster (Shingles),,States/Local Areas,Indiana,2020,60-64 Years,Overall,26.5,23.2 to 29.9,836.0,Indiana,Region 5
Zoster (Shingles),,States/Local Areas,Indiana,2014,60-64 Years,Overall,20.9,18.3 to 23.4,1242.0,Indiana,Region 5
Zoster (Shingles),,States/Local Areas,Indiana,2015,60-64 Years,Overall,21.5,17.4 to 25.5,638.0,Indiana,Region 5
Pneumococcal,,States/Local Areas,Maryland,2017,18-64 Years at Increased Risk,Overall,38.4,35.4 to 41.4,2291.0,Maryland,Region 3
Pneumococcal,,States/Local Areas,Maryland,2018,>=65 Years,Overall,75.7,74.1 to 77.4,6456.0,Maryland,Region 3
Pneumococcal,,States/Local Areas,Maryland,2008,18-64 Years at Increased Risk,Overall,25.7,23.0 to 28.4,2051.0,Maryland,Region 3
Pneumococcal,,States/Local Areas,Maryland,2009,18-64 Years at Increased Risk,Overall,25.0,22.1 to 27.8,1753.0,Maryland,Region 3
